도서관명,위도,경도
소나무언덕4호,37.5098782,127.107087
소나무언덕3호,37.4933471,127.1553249
소나무언덕2호,37.5072203,127.0942233
소나무언덕1호,37.5272233,127.1177482
거마도서관,37.4935096,127.1468394
송파어린이도서관,37.5128988,127.0829932
송파글마루도서관,37.4807272,127.1268478
송파위례도서관,37.4850892,127.1332182
돌마리도서관,37.5043861,127.0987532
송파어린이영어,37.5218791,127.0986358
소나무언덕 잠실본동,37.5088859,127.0849294
