iter	Logloss
0	0.6861433994
1	0.6790639069
2	0.6724514
3	0.6665013568
4	0.6607386028
5	0.6548827858
6	0.6491948475
7	0.643986388
8	0.6393787233
9	0.6344138319
10	0.6297569283
11	0.6253643841
12	0.6213010829
13	0.6177034714
14	0.61378158
15	0.6102818199
16	0.606808181
17	0.6035364658
18	0.6006669358
19	0.597568275
20	0.5947463916
21	0.5920362836
22	0.5895359945
23	0.586959092
24	0.5845797069
25	0.582180671
26	0.5797922403
27	0.577670545
28	0.5755685896
29	0.573668801
30	0.5717248913
31	0.5700634979
32	0.5684324471
33	0.5668010066
34	0.565202446
35	0.5637341609
36	0.5623283282
37	0.5608928478
38	0.5596672623
39	0.558514411
40	0.5572359998
41	0.556151046
42	0.555017955
43	0.5539127764
44	0.5527621213
45	0.5516947496
46	0.550696809
47	0.5498192779
48	0.5491747534
49	0.548316146
50	0.5474614445
51	0.5467587316
52	0.5459728692
53	0.545183804
54	0.5444411152
55	0.543728204
56	0.5430735267
57	0.5423820391
58	0.5419769425
59	0.5414128522
60	0.5408642238
61	0.5402852527
62	0.5397672389
63	0.5392924312
64	0.5387170528
65	0.5381862957
66	0.5377803253
67	0.5373840017
68	0.5368473881
69	0.5364338199
70	0.5359484078
71	0.5355531653
72	0.5353099027
73	0.5348624769
74	0.534439294
75	0.5341588083
76	0.5339367593
77	0.533634893
78	0.5334080715
79	0.53303264
80	0.5327681788
81	0.532420002
82	0.5321621932
83	0.5318908024
84	0.5316232606
85	0.5314152996
86	0.5311131935
87	0.530699074
88	0.5303658954
89	0.5300135832
90	0.5296587493
91	0.5293440903
92	0.5291546583
93	0.5289063795
94	0.5285748938
95	0.5283494807
96	0.528171985
97	0.5279940304
98	0.5278856323
99	0.5276269872
100	0.5274146753
101	0.5271208163
102	0.5269234154
103	0.5267982051
104	0.5267159085
105	0.5265014028
106	0.5262781198
107	0.5260289573
108	0.5258059233
109	0.5255362162
110	0.5253527933
111	0.5251211357
112	0.524950528
113	0.5246836132
114	0.5246267074
115	0.5243780787
116	0.5241670722
117	0.5239688079
118	0.5237927029
119	0.5235784339
120	0.5233793152
121	0.5232095084
122	0.5230472428
123	0.522871264
124	0.5227317111
