iter	Passed	Remaining
427	1745	2332
428	1749	2328
429	1752	2323
430	1756	2319
431	1760	2314
432	1764	2310
433	1767	2305
434	1771	2301
435	1775	2296
436	1778	2291
437	1782	2287
438	1786	2283
439	1790	2278
440	1793	2273
441	1797	2269
442	1801	2264
443	1804	2260
444	1808	2255
445	1811	2250
446	1815	2246
447	1819	2241
448	1822	2237
449	1826	2232
450	1830	2228
451	1834	2224
452	1838	2219
453	1841	2214
454	1845	2210
455	1849	2206
456	1852	2201
457	1856	2196
458	1860	2192
459	1863	2187
460	1867	2183
461	1870	2178
462	1874	2173
463	1878	2169
464	1881	2165
465	1885	2160
466	1888	2155
467	1893	2151
468	1896	2147
469	1900	2142
470	1903	2138
471	1907	2133
472	1911	2129
473	1914	2124
474	1918	2120
475	1922	2116
476	1925	2111
477	1929	2107
478	1932	2102
479	1936	2098
480	1940	2093
481	1943	2089
482	1947	2084
483	1951	2080
484	1954	2075
485	1958	2071
486	1962	2067
487	1966	2062
488	1969	2058
489	1973	2054
490	1976	2049
491	1980	2045
492	1985	2041
493	1989	2037
494	1993	2033
495	1997	2029
496	2000	2024
497	2004	2020
498	2008	2016
499	2012	2012
500	2016	2008
501	2019	2003
502	2024	2000
503	2028	1996
504	2032	1991
505	2035	1987
506	2040	1984
507	2044	1979
508	2047	1975
509	2051	1970
510	2055	1967
511	2059	1962
512	2062	1958
513	2066	1953
514	2070	1949
515	2074	1945
516	2077	1941
517	2081	1936
518	2085	1932
519	2089	1928
520	2092	1924
521	2096	1919
522	2099	1915
523	2104	1911
524	2107	1906
525	2111	1902
526	2115	1898
527	2123	1898
528	2126	1893
529	2130	1889
530	2135	1886
531	2139	1881
532	2142	1877
533	2146	1873
534	2155	1873
535	2159	1869
536	2164	1866
537	2172	1865
538	2181	1865
539	2190	1865
540	2198	1865
541	2205	1863
542	2212	1861
543	2220	1860
544	2227	1860
545	2236	1859
546	2244	1858
547	2252	1857
548	2260	1856
549	2265	1853
550	2268	1848
551	2272	1844
552	2276	1839
553	2279	1835
554	2283	1830
555	2287	1826
556	2290	1821
557	2294	1817
558	2298	1812
559	2302	1808
560	2305	1804
561	2309	1799
562	2312	1795
563	2316	1790
564	2319	1786
565	2323	1781
566	2326	1777
567	2330	1772
568	2334	1768
569	2338	1763
570	2341	1759
571	2345	1754
572	2349	1750
573	2352	1746
574	2356	1741
575	2359	1737
576	2363	1732
577	2367	1728
578	2371	1724
579	2374	1719
580	2379	1715
581	2382	1711
582	2386	1706
583	2389	1702
584	2394	1698
585	2398	1694
586	2401	1689
587	2405	1685
588	2409	1681
589	2413	1677
590	2417	1672
591	2420	1668
592	2425	1664
593	2428	1660
594	2432	1655
595	2436	1651
596	2441	1647
597	2444	1643
598	2448	1639
599	2452	1634
600	2456	1630
601	2460	1626
602	2464	1622
603	2467	1617
604	2471	1613
605	2475	1609
606	2479	1605
607	2483	1600
608	2486	1596
609	2491	1592
610	2494	1588
611	2498	1584
612	2502	1579
613	2506	1576
614	2510	1571
615	2514	1567
616	2518	1563
617	2522	1559
618	2526	1555
619	2530	1551
620	2534	1546
621	2539	1543
622	2543	1538
623	2546	1534
624	2550	1530
625	2554	1526
626	2558	1522
627	2562	1517
628	2565	1513
629	2570	1509
630	2574	1505
631	2577	1500
632	2581	1496
633	2585	1492
634	2589	1488
635	2593	1484
636	2596	1479
637	2600	1475
638	2605	1471
639	2608	1467
640	2612	1463
641	2616	1459
642	2621	1455
643	2624	1450
644	2628	1446
645	2633	1443
646	2639	1439
647	2642	1435
648	2646	1431
