iter	Passed	Remaining
401	12319	18325
402	12345	18289
403	12370	18249
404	12399	18216
405	12427	18181
406	12450	18140
407	12478	18105
408	12507	18072
409	12532	18034
410	12565	18007
411	12582	17957
412	12629	17950
413	12656	17914
414	12688	17886
415	12718	17854
416	12745	17818
417	12772	17784
418	12798	17746
419	12831	17719
420	12861	17688
421	12881	17643
422	12909	17609
423	12940	17579
424	12965	17541
425	12980	17490
426	13011	17459
427	13049	17440
428	13074	17402
429	13100	17366
430	13131	17335
431	13164	17308
432	13197	17281
433	13226	17248
434	13251	17211
435	13279	17177
436	13309	17147
437	13333	17107
438	13362	17075
439	13384	17034
440	13405	16992
441	13433	16959
442	13460	16924
443	13490	16893
444	13524	16867
445	13554	16836
446	13574	16793
447	13603	16761
448	13637	16735
449	13677	16717
450	13702	16680
451	13732	16649
452	13753	16607
453	13780	16573
454	13810	16542
455	13839	16510
456	13869	16479
4457	14310	16934458	13934	16424
459	13966	16395
460	13995	16363
461	14023	16330
462	14052	16297
463	14082	16268
464	14107	16231
465	14130	16192
466	14155	16156
467	14183	16122
4468	14617	165504469	14653	165234470	14680	164884471	14707	16452472	14316	15951
4473	14759	163784474	14789	163464475	14828	16324
476	14867	16301
477	14891	16261
478	14922	16230
479	14946	16192
480	14986	16170
481	15015	16136
482	15041	16100
483	15073	16069
484	15096	16030
485	15127	15999
486	15157	15967
487	15185	15931
488	15212	15896
489	15245	15867
490	15275	15835
491	15308	15806
492	15332	15767
493	15363	15736
494	15392	15702
495	15419	15668
496	15440	15626
497	15468	15592
498	15503	15566
499	15531	15531
500	15574	15512
501	15600	15476
502	15628	15442
503	15650	15401
504	15678	15368
505	15712	15339
506	15750	15315
507	15780	15283
508	15806	15247
509	15838	15217
510	15877	15193
511	15899	15154
512	15928	15121
513	15951	15082
514	15976	15045
515	16012	15019
516	16037	14983
517	16070	14953
518	16096	14918
519	16136	14894
520	16181	14877
521	16215	14848
522	16244	14816
523	16274	14783
524	16300	14747
525	16324	14710
526	16353	14677
527	16383	14646
528	16417	14617
529	16449	14587
530	16472	14549
531	16495	14510
532	16521	14475
533	16556	14448
534	16585	14415
535	16617	14384
536	16646	14352
537	16676	14320
538	16704	14286
539	16740	14260
540	16768	14226
541	16806	14201
542	16838	14171
543	16866	14138
544	16901	14110
545	16932	14078
546	16958	14044
547	16979	14004
548	17003	13968
549	17024	13929
550	17052	13896
551	17084	13865
552	17110	13830
553	17145	13803
554	17177	13773
555	17214	13747
556	17243	13714
557	17270	13680
558	17300	13648
559	17331	13617
560	17368	13591
561	17405	13565
562	17432	13531
563	17464	13500
564	17501	13474
565	17536	13446
566	17569	13417
567	17602	13387
568	17641	13362
569	17664	13325
570	17696	13295
571	17735	13270
572	17757	13232
573	17779	13195
574	17803	13159
575	17825	13121
576	17851	13086
577	17874	13049
578	17902	13017
579	17936	12988
580	17969	12959
581	18007	12933
582	18038	12902
583	18080	12879
584	18116	12851
585	18151	12823
586	18187	12796
587	18229	12773
588	18284	12758
589	18311	12724
590	18340	12692
591	18364	12656
592	18398	12627
593	18424	12593
594	18455	12562
595	18484	12529
596	18516	12499
597	18546	12467
598	18574	12434
599	18607	12404
600	18646	12379
601	18675	12346
602	18705	12315
603	18740	12286
604	18763	12250
605	18802	12224
606	18837	12196
607	18866	12164
608	18899	12134
609	18925	12100
610	18956	12069
611	18984	12036
612	19015	12004
613	19045	11972
614	19077	11942
615	19100	11906
616	19135	11878
617	19166	11847
618	19190	11811
619	19230	11786
620	19260	11754
621	19302	11730
622	19329	11697
623	19366	11669
624	19390	11634
625	19424	11604
626	19449	11570
627	19479	11538
628	19510	11507
629	19537	11474
630	19571	11444
631	19609	11418
632	19638	11385
633	19668	11354
634	19696	11321
635	19731	11293
636	19766	11264
637	19792	11230
638	19825	11200
639	19853	11167
640	19892	11140
641	19938	11118
642	19970	11087
643	19999	11055
644	20028	11023
645	20051	10988
646	20086	10959
647	20110	10924
648	20138	10891
649	20171	10861
650	20194	10826
651	20223	10794
652	20252	10762
653	20290	10734
654	20331	10709
655	20359	10676
656	20383	10641
657	20415	10611
658	20454	10584
659	20472	10546
660	20496	10511
661	20522	10478
662	20546	10443
663	20574	10411
664	20604	10379
665	20625	10343
666	20651	10310
667	20677	10276
668	20700	10241
669	20732	10211
670	20759	10178
671	20789	10147
672	20814	10113
673	20841	10080
674	20863	10045
675	20894	10014
676	20922	9982
677	20950	9949
678	20987	9921
679	21035	9899
680	21071	9870
681	21100	9838
682	21127	9805
683	21151	9771
684	21175	9737
685	21203	9705
686	21234	9674
687	21257	9639
688	21289	9609
689	21318	9577
690	21345	9545
691	21372	9512
692	21405	9482
693	21430	9449
694	21467	9421
695	21499	9390
696	21533	9361
697	21560	9328
698	21598	9300
699	21634	9271
700	21664	9240
701	21690	9207
702	21709	9171
703	21744	9142
704	21768	9108
705	21799	9078
706	21829	9046
707	21853	9013
708	21885	8982
709	21908	8948
710	21942	8918
711	21975	8889
712	22011	8859
713	22031	8824
714	22058	8792
715	22082	8758
716	22113	8728
717	22142	8696
718	22174	8666
719	22200	8633
720	22227	8601
721	22265	8573
722	22297	8542
723	22326	8511
724	22364	8483
725	22398	8453
726	22433	8424
727	22460	8391
728	22491	8361
729	22510	8325
730	22543	8295
731	22562	8260
732	22587	8227
733	22612	8194
734	22644	8164
735	22673	8132
736	22702	8101
737	22738	8072
738	22773	8043
739	22802	8011
740	22829	7979
741	22864	7950
742	22889	7917
743	22914	7884
744	22937	7851
745	22967	7819
746	22994	7788
747	23024	7756
748	23055	7726
749	23080	7693
750	23102	7659
751	23128	7627
752	23149	7593
753	23180	7562
754	23216	7533
755	23239	7500
756	23260	7466
757	23292	7436
758	23317	7403
759	23357	7376
760	23377	7341
761	23401	7309
762	23429	7277
763	23454	7245
764	23482	7213
765	23507	7181
766	23536	7149
767	23562	7117
768	23601	7089
