행정동명,인구
풍납동,40426.2
신천동,74190.33
방이동,67300.47
잠실동,116356.89
삼전동,15555.24
석촌동,25951.72
송파동,24470.4
오금동,29833.46
가락동,71992.94
문정동,55210.23
장지동,44912.94
거여동,18650.75
마천동,13786.44
