,공원이름,경도,위도,ADDRESS,CODE
106,도담,127.1498994,37.495935700000004,서울특별시 송파구 마천동,1171011400
107,천상,127.1498994,37.495935700000004,서울특별시 송파구 마천동,1171011400
108,대 건,127.1157128,37.4952783,서울특별시 송파구 가락동,1171010700
109,거북이,127.12041409999998,37.502126399999995,서울특별시 송파구 송파동,1171010400
110,늘푸른,127.1485105,37.4968796,서울특별시 송파구 마천동,1171011400
111,능안,127.14620579999999,37.4900434,서울특별시 송파구 거여동,1171011300
112,벚 꽃,127.10659709999999,37.514543700000004,서울특별시 송파구 신천동,1171010200
113,신천교통,127.0995,37.5200705,서울특별시 송파구 신천동,1171010200
114,가락 1(시영아파트),127.10668249999999,37.4976866,서울특별시 송파구 가락동,1171010700
115,향유(거마재정비),127.14774299999999,37.4944983,서울특별시 송파구 거여동,1171011300
116,나무그늘(거마재정비),127.15716100000002,37.4905751,서울특별시 송파구 마천동,1171011400
117,솔향(거마재정비),127.15432609999999,37.4990879,서울특별시 송파구 마천동,1171011400
118,문정법조단지 근린공원2 (2017~18년 인수 예정),127.1238462,37.4851331,서울특별시 송파구 문정동,1171010800
119,위례 근린공원 3호,127.13870700000001,37.490393299999994,서울특별시 송파구 거여동,1171011300
120,위례 근린공원 7호(2017~18년 인수 예정),127.14201329999999,37.4767627,서울특별시 송파구 장지동,1171010900
121,위례 근린공원 8호(2017~18년 인수 예정),127.14201329999999,37.4767627,서울특별시 송파구 장지동,1171010900
122,위례 근린공원 12호,127.1369567,37.484568700000004,서울특별시 송파구 거여동,1171011300
123,가락1(시영아파트),127.10668249999999,37.4976866,서울특별시 송파구 가락동,1171010700
124,두레(거마재정비),127.1562452,37.494278200000004,서울특별시 송파구 마천동,1171011400
125,위례 어린이공원1호,127.1524756,37.490309100000005,서울특별시 송파구 거여동,1171011300
126,문정동136 어린이공원,127.1347517,37.4873225,서울특별시 송파구 문정동,1171010800
127,잠실미성크로바,127.10688770000002,37.517489700000006,서울특별시 송파구 신천동,1171010200
128,잠실진주,127.1106923,37.5183239,서울특별시 송파구 신천동,1171010200
129,잠실주공 5단지 1호,127.08429450000001,37.506127299999996,서울특별시 송파구 잠실동,1171010100
130,잠실주공 5단지 2호,127.08429450000001,37.506127299999996,서울특별시 송파구 잠실동,1171010100
131,장미아파트 1호,127.09925359999998,37.518860700000005,서울특별시 송파구 신천동,1171010200
132,거여1(거마재정비),127.14538229999998,37.4963374,서울특별시 송파구 거여동,1171011300
133,백제초기적석총,127.1027394,37.5018105,서울특별시 송파구 석촌동,1171010500
134,방이동고분,127.118159,37.5078722,서울특별시 송파구 방이동,1171011100
135,성내천,127.1561487,37.4942691,서울특별시 송파구 마천동,1171011400
136,올림픽공원,127.116064,37.5209657,서울특별시 송파구 방이동,1171011100
