,정류소명,경도,위도,ADDRESS,CODE,정류소
6641,강서노인회관,126.8395234,37.55453693,서울특별시 강서구 내발산동,1150010600,강서노인회관-2
6642,롯데2차,126.8404944,37.55442393,서울특별시 강서구 내발산동,1150010600,롯데2차-1
6643,김포공항국제선(1경기),126.8012109,37.56536969,서울특별시 강서구 방화동,1150010900,김포공항국제선(1경기)-1
6644,발산어린이집,126.8415623,37.55429962,서울특별시 강서구 내발산동,1150010600,발산어린이집-2
6645,강서구민회관,126.844239,37.552899,서울특별시 강서구 화곡동,1150010300,강서구민회관-2
6646,방화3동주민센터,126.8137005,37.57851231,서울특별시 강서구 방화동,1150010900,방화3동주민센터-2
6647,롯데3차APT,126.8464497,37.55275488,서울특별시 강서구 화곡동,1150010300,롯데3차APT-2
6648,방화동삼익아파트,126.8132614,37.57679915,서울특별시 강서구 방화동,1150010900,방화동삼익아파트-1
6649,공영주차장,126.8478519,37.55325031,서울특별시 강서구 화곡동,1150010300,공영주차장-1
6650,방화중학교(시외버스),126.8064707,37.5638222,서울특별시 강서구 방화동,1150010900,방화중학교(시외버스)-1
6651,강서구청입구,126.849918,37.55311395,서울특별시 강서구 화곡동,1150010300,강서구청입구-2
6652,서광아파트,126.8196064,37.57887205,서울특별시 강서구 방화동,1150010900,서광아파트-2
6653,생태공원,126.8186262,37.58347402,서울특별시 강서구 방화동,1150010900,생태공원-2
6654,등촌7단지,126.8529839,37.5613392,서울특별시 강서구 등촌동,1150010200,등촌7단지-1
6655,등촌10단지,126.8486514,37.56153257,서울특별시 강서구 등촌동,1150010200,등촌10단지-1
6656,등촌미주.진로아파트,126.8477364,37.5599112,서울특별시 강서구 등촌동,1150010200,등촌미주.진로아파트-1
6657,등촌3동성당사거리,126.8456377,37.55897335,서울특별시 강서구 등촌동,1150010200,등촌3동성당사거리-2
6658,등촌5단지,126.8439167,37.55914888,서울특별시 강서구 등촌동,1150010200,등촌5단지-1
6659,공원앞,126.8417769,37.55937069,서울특별시 강서구 등촌동,1150010200,공원앞-1
6660,발산역.NC백화점,126.839598,37.559581,서울특별시 강서구 등촌동,1150010200,발산역.NC백화점-1
6661,대성마트,126.8559673,37.53660844,서울특별시 강서구 화곡동,1150010300,대성마트-2
6662,태창아파트,126.8509379,37.53789947,서울특별시 강서구 화곡동,1150010300,태창아파트-2
6663,강서농수산물도매시장,126.817964,37.55345561,서울특별시 강서구 외발산동,1150010700,강서농수산물도매시장-2
6664,강서농수산물도매시장종점,126.8226292,37.55448326,서울특별시 강서구 외발산동,1150010700,강서농수산물도매시장종점-1
6665,등촌동주공9단지,126.8497398,37.56290217,서울특별시 강서구 등촌동,1150010200,등촌동주공9단지-1
6666,등촌주공9단지,126.8499022,37.56269527,서울특별시 강서구 등촌동,1150010200,등촌주공9단지-2
6667,등촌동주공8단지,126.8513969,37.5621096,서울특별시 강서구 등촌동,1150010200,등촌동주공8단지-1
6668,화훼단지,126.76908,37.55632616,서울특별시 강서구 오곡동,1150011200,화훼단지-1
6669,화훼단지,126.768986,37.55636923,서울특별시 강서구 오곡동,1150011200,화훼단지-2
6670,국립항공박물관,126.8078145,37.55643171,서울특별시 강서구 공항동,1150010800,국립항공박물관-1
6671,등촌주공8단지,126.8521263,37.56165772,서울특별시 강서구 등촌동,1150010200,등촌주공8단지-1
6672,대한항공화물청사,126.8134044,37.55157063,서울특별시 강서구 공항동,1150010800,대한항공화물청사-1
6673,대한항공훈련센터,126.8131682,37.54629233,서울특별시 강서구 공항동,1150010800,대한항공훈련센터-1
6674,김포공항화물청사,126.8113347,37.55347465,서울특별시 강서구 공항동,1150010800,김포공항화물청사-1
6675,김포공항세관.국립항공박물관,126.8083234,37.55585489,서울특별시 강서구 공항동,1150010800,김포공항세관.국립항공박물관-1
6676,강원슈퍼,126.8570101,37.53553214,서울특별시 강서구 화곡동,1150010300,강원슈퍼-2
6677,대한항공빌딩,126.8145856,37.55074726,서울특별시 강서구 외발산동,1150010700,대한항공빌딩-1
6678,대한항공,126.8165403,37.54959934,서울특별시 강서구 외발산동,1150010700,대한항공-4
6679,김포공항국제선,126.800904,37.5648136,서울특별시 강서구 방화동,1150010900,김포공항국제선-5
8023,대한항공훈련센터,126.8122991,37.54588757,서울특별시 강서구 공항동,1150010800,대한항공훈련센터-2
