,지하철역수,버스정류장수,유동인구비율,복지시설,의료기관,도서관,면적,공원이름,입지지수
0,0.0,0.0,0.5889014818595414,0.0,0.0,0.0,0.19704591937832583,송파나루,0.0883352222789312
1,0.0,0.42857142857142855,0.9999999999999999,0.23529411764705882,0.23809523809523808,0.5,0.004049253390602403,잠 실,0.34973389355742296
2,0.0,0.46428571428571425,0.01724473276660088,0.11764705882352941,0.3571428571428571,0.0,0.004045312477745942,삼 전1,0.16162032336036827
3,0.6666666666666666,0.39285714285714285,0.5889014818595414,0.11764705882352941,0.34523809523809523,0.0,0.004054715357543813,송 파,0.36558312143859506
4,0.3333333333333333,0.5,0.5217295039653234,0.11764705882352941,0.2976190476190476,0.0,0.004268285178835169,방 이,0.3069358961830338
5,0.0,0.42857142857142855,0.2597215864803166,0.1764705882352941,0.1369047619047619,0.5,0.004048078030627669,태 양,0.21102056290201948
6,0.6666666666666666,0.39285714285714285,0.5889014818595414,0.11764705882352941,0.34523809523809523,0.0,0.002824873991039885,한 양,0.36558312143859506
7,0.6666666666666666,0.39285714285714285,0.5889014818595414,0.11764705882352941,0.34523809523809523,0.0,0.003390706110641198,동 산,0.36558312143859506
8,0.0,0.5357142857142857,0.047424087541782234,0.4117647058823529,0.21428571428571427,0.0,0.1510063777797782,오 금<시공원>,0.27337411733294803
9,0.0,0.5714285714285714,0.15644876277719363,0.1764705882352941,0.15476190476190477,0.0,0.006407440332850883,백 토,0.21035106791797958
10,0.0,0.5357142857142857,0.047424087541782234,0.4117647058823529,0.19047619047619047,0.0,0.010667083158930654,거 여1,0.2717074506662813
11,0.0,0.17857142857142855,0.4038569588024622,0.1764705882352941,0.07142857142857142,0.0,0.016081206035487298,두댐이,0.16305753541700796
12,1.0,0.6785714285714285,0.567478255189482,0.1764705882352941,0.2976190476190476,0.0,0.007308803155827704,건너말,0.5034340632083943
13,0.3333333333333333,0.5714285714285714,0.15644876277719363,0.47058823529411764,0.19047619047619047,0.0,0.005096084295158056,목 련,0.3824589110552345
14,0.0,0.3571428571428571,0.0,0.1764705882352941,0.17857142857142855,0.0,0.007056239038904,마 천,0.14569327731092435
15,0.3333333333333333,0.6785714285714285,0.567478255189482,0.29411764705882354,0.19047619047619047,0.0,0.018592535468561402,가 락,0.40377720046329624
16,0.6666666666666666,0.6428571428571428,0.567478255189482,0.29411764705882354,0.1607142857142857,0.0,0.007150060420416584,웃 말,0.4612176766537724
17,0.0,0.7142857142857142,0.567478255189482,0.4117647058823529,0.30952380952380953,0.0,0.014372440048690325,개 롱,0.3937631948610553
18,0.6666666666666666,0.25,0.9999999999999999,0.11764705882352941,0.11309523809523808,0.0,0.0451277388134423,아시아,0.38242647058823526
19,0.6666666666666666,0.21428571428571427,0.4038569588024622,0.1764705882352941,0.1845238095238095,0.0,0.006756245690058681,훼밀리,0.3114503925598651
20,0.0,0.17857142857142855,0.4038569588024622,0.1764705882352941,0.07142857142857142,0.0,0.006533549544257626,숯 내,0.16305753541700796
21,0.0,0.9285714285714285,0.4038569588024622,0.8235294117647058,0.10714285714285714,0.5,0.009376330490206693,연 화,0.557028123652302
22,0.6666666666666666,0.39285714285714285,0.5889014818595414,0.11764705882352941,0.34523809523809523,0.0,0.007216226273111898,송 이,0.36558312143859506
23,0.0,0.42857142857142855,0.15644876277719363,0.1764705882352941,0.03571428571428571,0.0,0.012341901984104432,누에머리,0.17344630601321767
24,0.0,0.14285714285714285,0.2597215864803166,0.1764705882352941,0.07738095238095238,0.0,0.01641590707299829,풍 납,0.13471103909249565
25,0.6666666666666666,0.39285714285714285,0.5889014818595414,0.11764705882352941,0.34523809523809523,0.0,0.0040878328533024925,개나리1,0.36558312143859506
26,0.6666666666666666,0.39285714285714285,0.5889014818595414,0.11764705882352941,0.34523809523809523,0.0,0.005016505510986366,매미,0.36558312143859506
27,0.0,0.42857142857142855,0.9999999999999999,0.23529411764705882,0.25595238095238093,0.5,0.008395043188947966,부리,0.350983893557423
28,0.6666666666666666,0.39285714285714285,0.5889014818595414,0.11764705882352941,0.34523809523809523,0.0,0.007569525653752502,뽕나무,0.36558312143859506
29,0.3333333333333333,0.17857142857142855,0.5889014818595414,0.3529411764705882,0.3273809523809524,0.0,0.0012399356345222305,새내,0.33716225309125614
30,0.3333333333333333,0.3214285714285714,0.5889014818595414,0.23529411764705882,0.1369047619047619,0.0,0.0040483545859158416,하늘가람,0.3112238777411161
31,0.3333333333333333,0.39285714285714285,0.5889014818595414,0.23529411764705882,0.17261904761904762,0.0,0.0041328422264525965,온조마루,0.32800959202683033
32,0.3333333333333333,0.5357142857142857,0.4038569588024622,0.3529411764705882,0.369047619047619,0.0,0.01834481106918072,글 샘,0.3837508127279323
33,0.3333333333333333,0.5357142857142857,0.4038569588024622,0.3529411764705882,0.369047619047619,0.0,0.007348903672612744,한우물,0.3837508127279323
34,0.3333333333333333,0.5357142857142857,0.4038569588024622,0.3529411764705882,0.369047619047619,0.0,0.0065359002642070944,글샘작은,0.3837508127279323
35,0.3333333333333333,1.0,0.3034645943349181,1.0,0.07738095238095238,1.0,0.006355517077496461,장 수,0.6976030224835711
36,0.0,0.25,0.0,0.4117647058823529,0.03571428571428571,0.0,0.01615871065499769,널 문,0.1966176470588235
37,0.0,0.75,0.4038569588024622,0.7647058823529411,0.13095238095238093,0.5,0.034026947823834836,문 정,0.5023922693105654
38,0.0,0.42857142857142855,0.3034645943349181,0.23529411764705882,0.07142857142857142,0.0,0.09179865613488819,장 지<시공원>,0.21858691604099403
